"ID","nwCongoID","tsID","SITE","CODE","FEAT","IND","VU","POTTERY","PROV","Xray","TYPE","BOX","FABRIC","SUBGRP","SurfSponges","NOTES","RIVER","GROUP","REFERENCE"
"363","","","Ekoli-Bokungu","EKB","","T6/0","6635","modern","","","clay sample","","","","","dried briquette","Tshuapa","",""
"364","","","Balinga-Wema","BWM","","T8/0","6643","modern","","","clay sample","","","","","dried briquette","Tshuapa","",""
"365","","","Balinga-Bokonda","BBK","","T9/0","6645","modern","","","clay sample","","","","","dried briquette","Tshuapa","",""
"366","","","Bomane Yangwa","YNG","10 II B","5 (TPL (10))","","Early Pottery Phase","","","disc footed","","","","","","Aruwimi","",""
"367","","","Bomane Yangwa","YNG","10 II B","6 (BOT (3)-2)","","Early Pottery Phase","","","comb-stroke","","","","","","Aruwimi","",""
"368","","","Bomane Yangwa","YNG","10 II B","7 (BOT)","","Early Pottery Phase","","","disc footed","","","","","","Aruwimi","",""
"369","","","Bomane Yangwa","YNG","10 II B","8 (TPL (9,11,14,15))","","Early Pottery Phase","","","undec big vu","","","","","","Aruwimi","",""
"370","","","Bomane Yangwa","YNG","10 II B","9 (TPL)","","Early Pottery Phase","","","undec big vu","","","","","","Aruwimi","",""
"371","","","Bomane Yangwa","YNG","10 II B","10 (BOT (3))","","Early Pottery Phase","","","comb-stroke","","","","","","Aruwimi","",""
"372","","","Bomane Yangwa","YNG","10 II B","11 (BOT (3))","","Early Pottery Phase","","","wavy lines","","","","","","Aruwimi","",""
"373","","","Bomane Yangwa","YNG","10 II B","12 (TPL pot 3)","","Early Pottery Phase","","","wavy lines","","","","","","Aruwimi","",""
"374","","","Bomane Yangwa","YNG","10 II B","13 (SPL)","","Early Pottery Phase","","","rocker zig-zag comb","","","","","","Aruwimi","",""
"375","","","Bomane Yangwa","YNG","10 II B","14 (SPL (32))","","Early Pottery Phase","","","wavy lines","","","","","","Aruwimi","",""
"376","","","Bomane Yangwa","YNG","10 II B","15 (FPL (62))","","Early Pottery Phase","","","comb-stroke","","","","","","Aruwimi","",""
"377","","","Basoko","BKO","","T10/0","","modern","","","clay sample","","","","","dried briquette","Aruwimi","",""
"378","","","Ikenge","IKE","1991","","","Ikenge","","","","","","","","","","","Video from Kanimba Misago showing potting at Ikenge"
